a;b;sum;difference;product;quotient;xor
0;0;0;0;0;;0
0;1;1;-1;0;0.0;1
1;0;1;1;0;inf;1
0;-1;-1;1;0;0.0;-1
-1;0;-1;-1;0;-inf;-1
1;1;2;0;1;1.0;0
-1;-1;-2;0;1;1.0;0
-8635;9660;1025;-18295;-83414100;-1.0;-1031
-3487;-5042;-8529;1555;17581454;0.0;7727
961;-7522;-6561;8483;-7228642;-1.0;-7841
-5003;-6598;-11601;1595;33009794;0.0;2639
3659;2617;6276;1042;9575603;1.0;1138
-6552;8737;2185;-15289;-57244824;-1.0;-15287
8189;2239;10428;5950;18335171;3.0;5954
9101;9379;18480;-278;85358279;0.0;1838
-589;6646;6057;-7235;-3914494;-1.0;-7099
4063;-9590;-5527;13653;-38964170;-1.0;-10923
-6909;-8036;-14945;1127;55520724;0.0;1439
-2679;-586;-3265;-2093;1569894;4.0;2111
-4865;-4435;-9300;-430;21576275;1.0;594
-7281;751;-6530;-8032;-5468031;-10.0;-7840
-3805;8776;4971;-12581;-33392680;-1.0;-11413
6616;-4126;2490;10742;-27297616;-2.0;-2502
9422;5592;15014;3830;52687824;1.0;12566
3939;-5351;-1412;9290;-21077589;-1.0;-7046
-2825;4907;2082;-7732;-13862275;-1.0;-6180
4022;5369;9391;-1347;21594118;0.0;6991
8168;9683;17851;-1515;79090744;0.0;14907
4262;-9017;-4755;13279;-38430454;-1.0;-13215
7616;-1540;6076;9156;-11728640;-5.0;-7108
1664;-5235;-3571;6899;-8711040;-1.0;-4851
4930;-4218;712;9148;-20794740;-2.0;-828
927;-8912;-7985;9839;-8261424;-1.0;-8529
8693;9885;18578;-1192;85930305;0.0;1896
-9413;-4698;-14111;-4715;44222274;2.0;13981
9738;-6280;3458;16018;-61154640;-2.0;-16014
-2384;8023;5639;-10407;-19126832;-1.0;-5657
1771;-1548;223;3319;-2741508;-2.0;-225
6999;8595;15594;-1596;60156405;0.0;15044
-6668;3437;-3231;-10105;-22917916;-2.0;-5991
-6928;8647;1719;-15575;-59906416;-1.0;-15049
-2854;5525;2671;-8379;-15768350;-1.0;-7857
8157;9547;17704;-1390;77874879;0.0;14998
-7165;-1339;-8504;-5826;9593935;5.0;7878
4785;2774;7559;2011;13273590;1.0;6247
5834;9737;15571;-3903;56805658;0.0;12483
748;-4102;-3354;4850;-3068296;-1.0;-4842
517;5812;6329;-5295;3004804;0.0;5297
92;9951;10043;-9859;915492;0.0;9859
1961;8747;10708;-6786;17152867;0.0;9602
4599;7571;12170;-2972;34819029;0.0;3172
8270;4929;13199;3341;40762830;1.0;13071
-7797;9005;1208;-16802;-70211985;-1.0;-15706
-5293;506;-4787;-5799;-2678258;-11.0;-5463
4589;3773;8362;816;17314297;1.0;8016
3488;5603;9091;-2115;19543264;0.0;6211
-1157;-3990;-5147;2833;4616430;0.0;2833
-976;2708;1732;-3684;-2643008;-1.0;-2396
-5594;-3800;-9394;-1794;21257200;1.0;6926
-7810;-5821;-13631;-1989;45462010;1.0;2109
-7599;-1511;-9110;-6088;11482089;5.0;6216
7715;6333;14048;1382;48859095;1.0;1694
6481;8896;15377;-2415;57654976;0.0;15249
-1066;6164;5098;-7230;-6570824;-1.0;-7230
8635;-8868;-233;17503;-76575180;-1.0;-793
-5162;-9909;-15071;4747;51150258;0.0;12957
-6624;8293;1669;-14917;-54932832;-1.0;-14779
-8899;289;-8610;-9188;-2571811;-31.0;-9188
-2534;34;-2500;-2568;-86156;-75.0;-2504
-677;-4978;-5655;4301;3370106;0.0;4565
-6167;4154;-2013;-10321;-25617718;-2.0;-2093
1758;2102;3860;-344;3695316;0.0;3816
-3396;-2958;-6354;-438;10045368;1.0;1742
-5634;1951;-3683;-7585;-10991934;-3.0;-4511
3153;1242;4395;1911;3916026;2.0;2187
2932;3972;6904;-1040;11645904;0.0;1264
2669;1214;3883;1455;3240166;2.0;3795
-2193;7331;5138;-9524;-16076883;-1.0;-5172
8126;-8384;-258;16510;-68128384;-1.0;-16130
-3612;5845;2233;-9457;-21112140;-1.0;-6351
4554;-3843;711;8397;-17501022;-2.0;-7881
-8048;3357;-4691;-11405;-27017136;-3.0;-4723
-1094;-8686;-9780;7592;9502484;0.0;9640
-4883;-7162;-12045;2279;34972046;0.0;2283
-97;821;724;-918;-79637;-1.0;-854
-6544;5;-6539;-6549;-32720;-1309.0;-6539
6054;5974;12028;80;36166596;1.0;240
-9961;3429;-6532;-13390;-34156269;-3.0;-11150
-6038;-1195;-7233;-4843;7215410;5.0;4927
6157;-8617;-2460;14774;-53054869;-1.0;-14758
-7054;-2528;-9582;-4526;17832512;2.0;4690
-8887;-4662;-13549;-4225;41431194;1.0;12419
5454;6459;11913;-1005;35227386;0.0;3189
9286;-2579;6707;11865;-23948594;-4.0;-11861
5803;9711;15514;-3908;56352933;0.0;13124
-5309;-7235;-12544;1926;38410615;0.0;2302
-7858;9130;1272;-16988;-71743540;-1.0;-15644
3481;4452;7933;-971;15497412;0.0;7421
9534;3249;12783;6285;30975966;2.0;10639
-1394;6005;4611;-7399;-8370970;-1.0;-4613
-3537;3684;147;-7221;-13030308;-1.0;-949
-3573;-7290;-10863;3717;26047170;0.0;4493
-7607;-1431;-9038;-6176;10885617;5.0;6176
-1036;-5003;-6039;3967;5183108;0.0;6017
-9204;5484;-3720;-14688;-50474736;-2.0;-13984
-432;911;479;-1343;-393552;-1.0;-545
-8317;-2459;-10776;-5858;20451503;3.0;10726
-5744;-4421;-10165;-1323;25394224;1.0;1835
-7921;5863;-2058;-13784;-46440823;-2.0;-2072
41;4636;4677;-4595;190076;0.0;4661
-405;9150;8745;-9555;-3705750;-1.0;-8747
4708;-6288;-1580;10996;-29603904;-1.0;-2796
-4370;-3937;-8307;-433;17204690;1.0;7793
-198;-537;-735;339;106326;0.0;733
6681;-1351;5330;8032;-9026031;-5.0;-8032
-4339;6028;1689;-10367;-26155492;-1.0;-1919
3461;7620;11081;-4159;26372820;0.0;4161
118;-1951;-1833;2069;-230218;-1.0;-2025
-573;-2009;-2582;1436;1151157;0.0;1508
7357;-1517;5840;8874;-11160569;-5.0;-6482
-5572;-5345;-10917;-227;29782340;1.0;291
-9400;-7598;-16998;-1802;71421200;1.0;14618
-3501;-5670;-9171;2169;19850670;0.0;7049
3507;6106;9613;-2599;21413742;0.0;6761
6409;-4437;1972;10846;-28436733;-2.0;-2142
-7510;-2592;-10102;-4918;19465920;2.0;5962
9255;-7761;1494;17016;-71828055;-2.0;-14968
-9929;5422;-4507;-15351;-53835038;-2.0;-13287
-717;-8717;-9434;8000;6250089;0.0;8384
-6182;8252;2070;-14434;-51013864;-1.0;-14362
658;4755;5413;-4097;3128790;0.0;4097
-8620;-7678;-16298;-942;66184360;1.0;15446
8814;-3820;4994;12634;-33669480;-3.0;-11398
-284;-523;-807;239;148532;0.0;785
-6122;-5280;-11402;-842;32324160;1.0;886
-9440;-8838;-18278;-602;83430720;1.0;1626
-1685;3566;1881;-5251;-6008710;-1.0;-2939
2636;7735;10371;-5099;20389460;0.0;5243
-5136;1311;-3825;-6447;-6733296;-4.0;-4369
4155;-4619;-464;8774;-19191945;-1.0;-562
4455;-8486;-4031;12941;-37805130;-1.0;-12355
-1246;5181;3935;-6427;-6455526;-1.0;-4321
-8619;-9877;-18496;1258;85129863;0.0;1854
-2322;-2411;-4733;89;5598342;0.0;123
9035;4724;13759;4311;42681340;1.0;12607
1476;8473;9949;-6997;12506148;0.0;9437
-9245;3745;-5500;-12990;-34622525;-3.0;-10942
-6430;6552;122;-12982;-42129360;-1.0;-134
1660;-5162;-3502;6822;-8568920;-1.0;-4694
1739;-2895;-1156;4634;-5034405;-1.0;-3462
-4790;6988;2198;-11778;-33472520;-1.0;-2554
-6905;-7130;-14035;225;49232650;0.0;289
5631;-3217;2414;8848;-18114927;-2.0;-6512
-4685;-7498;-12183;2813;35128130;0.0;3845
8151;-7722;429;15873;-62942022;-2.0;-511
-875;-1531;-2406;656;1339625;0.0;1680
-3219;-9833;-13052;6614;31652427;0.0;11002
-8857;1386;-7471;-10243;-12275802;-7.0;-10227
-7567;50;-7517;-7617;-378350;-152.0;-7613
6488;3475;9963;3013;22545800;1.0;5323
-320;1666;1346;-1986;-533120;-1.0;-1982
3524;1688;5212;1836;5948512;2.0;2908
3998;-1538;2460;5536;-6148924;-3.0;-2464
5312;-4566;746;9878;-24254592;-2.0;-1302
5517;8071;13588;-2554;44527707;0.0;2570
-4125;1389;-2736;-5514;-5729625;-3.0;-5490
-4526;-3249;-7775;-1277;14704974;1.0;7453
7640;-967;6673;8607;-7387880;-8.0;-7711
9249;7071;16320;2178;65399679;1.0;16318
-327;9394;9067;-9721;-3071838;-1.0;-9717
5003;-4267;736;9270;-21347801;-2.0;-802
8316;5660;13976;2656;47068560;1.0;13920
7600;-308;7292;7908;-2340800;-25.0;-7300
3457;2950;6407;507;10198150;1.0;1543
-5186;9746;4560;-14932;-50542756;-1.0;-12884
-8388;-8333;-16721;-55;69897204;1.0;79
1898;2914;4812;-1016;5530772;0.0;3080
-562;5038;4476;-5600;-2831356;-1.0;-4512
-7325;-44;-7369;-7281;322300;166.0;7351
-2258;5009;2751;-7267;-11310322;-1.0;-6977
-9166;-1988;-11154;-7178;18222008;4.0;9230
4942;-7211;-2269;12153;-35636762;-1.0;-3941
-1504;-5470;-6974;3966;8226880;0.0;4226
-2104;-6140;-8244;4036;12918560;0.0;8140
-8025;-9461;-17486;1436;75924525;0.0;15276
2126;-3516;-1390;5642;-7475016;-1.0;-1526
-4474;1605;-2869;-6079;-7180770;-3.0;-5949
-505;-9412;-9917;8907;4753060;0.0;9531
8037;1145;9182;6892;9202365;7.0;6940
-3551;-900;-4451;-2651;3195900;3.0;3677
6899;-9695;-2796;16594;-66885805;-1.0;-16174
-835;-6179;-7014;5344;5159465;0.0;7008
1318;5021;6339;-3703;6617678;0.0;5819
-920;-6211;-7131;5291;5714120;0.0;7125
-1749;578;-1171;-2327;-1010922;-4.0;-1175
3575;-2858;717;6433;-10217350;-2.0;-1759
-2720;-4041;-6761;1321;10991520;0.0;1367
-8495;-8935;-17430;440;75902825;0.0;968
3305;6987;10292;-3682;23092035;0.0;6050
-4983;3033;-1950;-8016;-15113439;-2.0;-6320
6081;-5109;972;11190;-31067829;-2.0;-1078
8781;-1984;6797;10765;-17421504;-5.0;-9715
8373;340;8713;8033;2846820;24.0;8673
-624;2592;1968;-3216;-1617408;-1.0;-2128
-4541;-6282;-10823;1741;28526562;0.0;2357
7392;-3707;3685;11099;-27402144;-2.0;-4763
-5025;-7724;-12749;2699;38813100;0.0;3467
4711;-7907;-3196;12618;-37249877;-1.0;-3206
-5009;3737;-1272;-8746;-18718633;-2.0;-7434
-3809;-7889;-11698;4080;30049201;0.0;4144
-6176;-414;-6590;-5762;2556864;14.0;6530
-42;-9647;-9689;9605;405174;0.0;9607
8435;-7146;1289;15581;-60276510;-2.0;-15131
-3376;8344;4968;-11720;-28169344;-1.0;-11704
5276;-6924;-1648;12200;-36531024;-1.0;-3992
6438;-6408;30;12846;-41254704;-2.0;-34
-5007;-6215;-11222;1208;31118505;0.0;3016
-6015;-3638;-9653;-2377;21882570;1.0;6475
3683;-7160;-3477;10843;-26370280;-1.0;-5525
5431;-3705;1726;9136;-20121855;-2.0;-6992
1944;-7066;-5122;9010;-13736304;-1.0;-7170
1565;9513;11078;-7948;14887845;0.0;9012
1548;-7338;-5790;8886;-11359224;-1.0;-6822
6189;-1511;4678;7700;-9351579;-5.0;-7628
9294;-4211;5083;13505;-39137034;-3.0;-13373
9673;7465;17138;2208;72208945;1.0;14560
5595;7258;12853;-1663;40608510;0.0;2433
-7390;930;-6460;-8320;-6872700;-8.0;-8064
-1675;-7706;-9381;6031;12907550;0.0;6291
8850;4010;12860;4840;35488500;2.0;11576
-9724;-4329;-14053;-5395;42095196;2.0;13587
9747;4696;14443;5051;45771912;2.0;13387
-701;-6898;-7599;6197;4835498;0.0;6221
108;-3566;-3458;3674;-385128;-1.0;-3458
8140;2992;11132;5148;24354880;2.0;5244
3587;5538;9125;-1951;19864806;0.0;7073
-6453;2328;-4125;-8781;-15022584;-3.0;-4141
2599;-4049;-1450;6648;-10523351;-1.0;-1528
4587;5486;10073;-899;25164282;0.0;1157
-5324;-1012;-6336;-4312;5387888;5.0;5944
7999;-4385;3614;12384;-35075615;-2.0;-3616
9393;-7108;2285;16501;-66765444;-2.0;-16243
757;-1233;-476;1990;-933381;-1.0;-1574
-5415;6674;1259;-12089;-36139710;-1.0;-3893
-3030;-8990;-12020;5960;27239700;0.0;10440
-4331;5215;884;-9546;-22586165;-1.0;-1206
7700;7746;15446;-46;59644200;0.0;86
9964;7676;17640;2288;76483664;1.0;15120
-8032;-3291;-11323;-4741;26433312;2.0;4997
-9456;4084;-5372;-13540;-38618304;-3.0;-11036
-9457;6316;-3141;-15773;-59730412;-2.0;-15453
476;-7346;-6870;7822;-3496696;-1.0;-7534
-6656;-7152;-13808;496;47603712;0.0;528
-8140;-4659;-12799;-3481;37924260;1.0;3577
5624;-6053;-429;11677;-34042072;-1.0;-605
9675;-6815;2860;16490;-65935125;-2.0;-16214
-7376;-2001;-9377;-5375;14759376;3.0;6943
1939;4779;6718;-2840;9266481;0.0;5432
-8544;-8368;-16912;-176;71496192;1.0;496
5428;1432;6860;3996;7772896;3.0;4268
-6585;9122;2537;-15707;-60068370;-1.0;-14875
584;-5096;-4512;5680;-2976064;-1.0;-4528
-3030;-3908;-6938;878;11841240;0.0;1174
6778;-6147;631;12925;-41664366;-2.0;-633
6482;2696;9178;3786;17475472;2.0;5082
2446;-4066;-1620;6512;-9945436;-1.0;-1648
-3288;-7363;-10651;4075;24209544;0.0;4117
9944;234;10178;9710;2326896;42.0;9778
-5530;9357;3827;-14887;-51744210;-1.0;-12565
-1579;9890;8311;-11469;-15616310;-1.0;-8329
2551;-8097;-5546;10648;-20655447;-1.0;-5720
8416;2421;10837;5995;20375136;3.0;10645
-2525;-7781;-10306;5256;19647025;0.0;6072
-6730;908;-5822;-7638;-6110840;-8.0;-6598
8820;-508;8312;9328;-4480560;-18.0;-9104
517;-3706;-3189;4223;-1916002;-1.0;-3197
1540;-1523;17;3063;-2345420;-2.0;-1015
-4315;-1572;-5887;-2743;6783180;2.0;5881
1067;-416;651;1483;-443872;-3.0;-1461
-4727;2693;-2034;-7420;-12729811;-2.0;-6388
-9600;7848;-1752;-17448;-75340800;-2.0;-15320
-9930;2497;-7433;-12427;-24795210;-4.0;-12041
-4382;-7691;-12073;3309;33701962;0.0;3863
-1977;4144;2167;-6121;-8192688;-1.0;-6025
-5461;-835;-6296;-4626;4559935;6.0;5654
-6835;4124;-2711;-10959;-28187540;-2.0;-2735
3371;7030;10401;-3659;23698130;0.0;5725
8229;-1409;6820;9638;-11594661;-6.0;-9638
-7948;6010;-1938;-13958;-47767480;-2.0;-2162
-5383;9624;4241;-15007;-51805992;-1.0;-12447
-9601;-4230;-13831;-5371;40612230;2.0;13573
-2713;3150;437;-5863;-8545950;-1.0;-1751
7535;7455;14990;80;56173425;1.0;112
8254;3013;11267;5241;24869302;2.0;11259
-3002;2608;-394;-5610;-7829216;-2.0;-394
7688;-5453;2235;13141;-41922664;-2.0;-2885
-3313;9656;6343;-12969;-31990328;-1.0;-10569
-7999;-194;-8193;-7805;1551806;41.0;8191
-1676;7909;6233;-9585;-13255484;-1.0;-6255
-5621;-2725;-8346;-2896;15317225;2.0;8016
-3428;-240;-3668;-3188;822720;14.0;3468
-6278;-9483;-15761;3205;59534274;0.0;15759
-356;-5690;-6046;5334;2025640;0.0;5978
-8011;9720;1709;-17731;-77866920;-1.0;-15027
3535;4444;7979;-909;15709540;0.0;7315
-2781;-457;-3238;-2324;1270917;6.0;2836
-988;5694;4706;-6682;-5625672;-1.0;-5606
-1234;7017;5783;-8251;-8658978;-1.0;-8121
4351;5843;10194;-1492;25422893;0.0;1580
3380;-9307;-5927;12687;-31457660;-1.0;-10607
4889;7983;12872;-3094;39028887;0.0;3126
1773;-4341;-2568;6114;-7696593;-1.0;-5658
-3573;-950;-4523;-2623;3394350;3.0;3649
-5203;3523;-1680;-8726;-18330169;-2.0;-6546
-886;-4072;-4958;3186;3607792;0.0;3218
-4147;-1389;-5536;-2758;5760183;2.0;5470
509;-8049;-7540;8558;-4096941;-1.0;-7822
2409;-6684;-4275;9093;-16101756;-1.0;-4979
-5092;-7512;-12604;2420;38251104;0.0;3764
3866;2784;6650;1082;10762944;1.0;1530
-1368;1088;-280;-2456;-1488384;-2.0;-280
6554;-1587;4967;8141;-10401198;-5.0;-8105
-4602;730;-3872;-5332;-3359460;-7.0;-4900
-4091;2561;-1530;-6652;-10477051;-2.0;-1532
9446;-7054;2392;16500;-66632084;-2.0;-16236
3410;2881;6291;529;9824210;1.0;1555
-5685;-4321;-10006;-1364;24564885;1.0;1748
2370;-3464;-1094;5834;-8209680;-1.0;-1222
-4882;-7962;-12844;3080;38870484;0.0;3080
-2913;-4013;-6926;1100;11689869;0.0;1228
-7865;1561;-6304;-9426;-12277265;-6.0;-6306
-5905;-3589;-9494;-2316;21193045;1.0;6420
9784;4782;14566;5002;46787088;2.0;13462
-416;4923;4507;-5339;-2047968;-1.0;-4773
3499;-7957;-4458;11456;-27841543;-1.0;-4800
8284;3292;11576;4992;27270928;2.0;11392
3710;-6025;-2315;9735;-22352750;-1.0;-6647
-2432;-3080;-5512;648;7490560;0.0;1400
3665;3171;6836;494;11621715;1.0;562
4886;-5939;-1053;10825;-29017954;-1.0;-1061
-5843;-4460;-10303;-1383;26059780;1.0;1977
-4268;-2692;-6960;-1576;11489456;1.0;6696
5204;2326;7530;2878;12104504;2.0;7490
6437;-822;5615;7259;-5291214;-8.0;-6673
55;-5075;-5020;5130;-279125;-1.0;-5094
8108;-5775;2333;13883;-46823700;-2.0;-2339
-8648;-4714;-13362;-3934;40766672;1.0;13230
-3258;1251;-2007;-4509;-4075758;-3.0;-2139
4142;-5854;-1712;9996;-24247268;-1.0;-1780
1613;4342;5955;-2729;7003646;0.0;5819
-2267;-1356;-3623;-911;3074052;1.0;3473
-4680;387;-4293;-5067;-1811160;-13.0;-5061
6077;8726;14803;-2649;53027902;0.0;13739
8208;2842;11050;5366;23327136;2.0;11018
7284;2239;9523;5045;16308876;3.0;5323
4156;-6832;-2676;10988;-28393792;-1.0;-2708
8724;4963;13687;3761;43297212;1.0;12663
2528;-2081;447;4609;-5260768;-2.0;-449
-395;3004;2609;-3399;-1186580;-1.0;-2615
3124;-9353;-6229;12477;-29218772;-1.0;-10429
9186;-840;8346;10026;-7716240;-11.0;-8358
-9968;-5340;-15308;-4628;53229120;1.0;12852
2650;-2168;482;4818;-5745200;-2.0;-558
-3260;-6822;-10082;3562;22239720;0.0;5662
-6146;-3891;-10037;-2255;23914086;1.0;5939
-6827;-9041;-15868;2214;61722907;0.0;14842
5946;-7463;-1517;13409;-44374998;-1.0;-2589
6050;-4731;1319;10781;-28622550;-2.0;-1497
2861;6549;9410;-3688;18736689;0.0;4792
-1113;-68;-1181;-1045;75684;16.0;1051
-2056;1382;-674;-3438;-2841392;-2.0;-3426
-2163;846;-1317;-3009;-1829898;-3.0;-2877
-3686;-1320;-5006;-2366;4865520;2.0;2882
-5453;9778;4325;-15231;-53319434;-1.0;-13183
-8686;-5032;-13718;-3654;43707952;1.0;12874
-4406;3549;-857;-7955;-15636894;-2.0;-7401
2372;482;2854;1890;1143304;4.0;2214
-9971;-3055;-13026;-6916;30461405;3.0;11548
1906;6099;8005;-4193;11624694;0.0;4257
-3546;-9481;-13027;5935;33619626;0.0;10449
7976;667;8643;7309;5319992;11.0;7603
-6025;-2429;-8454;-3596;14634725;2.0;7924
-3729;9249;5520;-12978;-34489521;-1.0;-10930
-7892;8442;550;-16334;-66624264;-1.0;-15914
-7032;-7333;-14365;301;51565656;0.0;2003
-9224;1272;-7952;-10496;-11732928;-8.0;-8448
7010;-8215;-1205;15225;-57587150;-1.0;-15221
4915;228;5143;4687;1120620;21.0;5079
-592;8158;7566;-8750;-4829536;-1.0;-7570
8639;-2386;6253;11025;-20612654;-4.0;-10479
5071;7133;12204;-2062;36171443;0.0;2066
7851;-3258;4593;11109;-25578558;-3.0;-4627
9449;-2768;6681;12217;-26154832;-4.0;-11815
8924;-6403;2521;15327;-57140372;-2.0;-15327
-9814;-1196;-11010;-8618;11737544;8.0;8958
7647;7572;15219;75;57903084;1.0;75
8223;2090;10313;6133;17186070;3.0;10293
-4519;8913;4394;-13432;-40277847;-1.0;-13176
-6593;1960;-4633;-8553;-12922280;-4.0;-7785
3923;-9407;-5484;13330;-36903661;-1.0;-11246
-67;9740;9673;-9807;-652580;-1.0;-9807
-3004;5073;2069;-8077;-15239292;-1.0;-6251
-8360;8292;-68;-16652;-69321120;-2.0;-196
4207;-3734;473;7941;-15708938;-2.0;-7931
1748;2832;4580;-1084;4950336;0.0;3524
-2316;2310;-6;-4626;-5349960;-2.0;-14
-4291;7141;2850;-11432;-30642031;-1.0;-2856
-6091;-1077;-7168;-5014;6560007;5.0;5118
3819;-4792;-973;8611;-18300648;-1.0;-7261
-1391;-6441;-7832;5050;8959431;0.0;7238
-6451;-3292;-9743;-3159;21236692;1.0;5609
3195;1907;5102;1288;6092865;1.0;2824
-5036;-4896;-9932;-140;24656256;1.0;180
6900;-7154;-254;14054;-49362600;-1.0;-262
-942;-5022;-5964;4080;4730724;0.0;4144
4167;4237;8404;-70;17655579;0.0;202
1791;-3216;-1425;5007;-5759856;-1.0;-2673
-3235;7210;3975;-10445;-23324350;-1.0;-4233
2078;9280;11358;-7202;19283840;0.0;11358
9615;-5946;3669;15561;-57170790;-2.0;-12983
-693;-731;-1424;38;506583;0.0;110
-4597;-9170;-13767;4573;42154490;0.0;12837
7984;1421;9405;6563;11345264;5.0;6845
1773;3452;5225;-1679;6120396;0.0;2961
336;-3306;-2970;3642;-1110816;-1.0;-3514
1325;-454;871;1779;-601550;-3.0;-1257
-8461;-434;-8895;-8027;3672074;19.0;8381
-8450;9390;940;-17840;-79345500;-1.0;-1456
1480;-2453;-973;3933;-3630440;-1.0;-3165
787;-400;387;1187;-314800;-2.0;-669
9602;-7955;1647;17557;-76383910;-2.0;-14993
-9425;-2965;-12390;-6460;27945125;3.0;12100
-1666;-4402;-6068;2736;7333732;0.0;6064
-7344;-7583;-14927;239;55689552;0.0;305
-9184;-1920;-11104;-7264;17633280;4.0;9376
399;-6719;-6320;7118;-2680881;-1.0;-7090
-407;3448;3041;-3855;-1403336;-1.0;-3311
4267;1493;5760;2774;6370631;2.0;5502
-9209;7434;-1775;-16643;-68459706;-2.0;-16115
5194;-9751;-4557;14945;-50646694;-1.0;-12893
-9867;3039;-6828;-12906;-29985813;-4.0;-11606
-7730;-2771;-10501;-4959;21419830;2.0;5347
-5284;-522;-5806;-4762;2758248;10.0;5802
-564;4149;3585;-4713;-2340036;-1.0;-4615
-9434;8009;-1425;-17443;-75556906;-2.0;-15249
-7945;-2841;-10786;-5104;22571745;2.0;5136
6508;9342;15850;-2834;60797736;0.0;15634
470;2175;2645;-1705;1022250;0.0;2473
9542;-3966;5576;13508;-37843572;-3.0;-10812
9706;8148;17854;1558;79084488;1.0;14910
-6447;2051;-4396;-8498;-13222797;-4.0;-4398
-6863;-1246;-8109;-5617;8551298;5.0;7699
3215;9285;12500;-6070;29851275;0.0;10442
-8158;3047;-5111;-11205;-24857426;-3.0;-5179
3351;2592;5943;759;8685792;1.0;1847
-4800;-1722;-6522;-3078;8265600;2.0;5126
9136;-1510;7626;10646;-13795360;-7.0;-9814
-3866;-3396;-7262;-470;13128936;1.0;602
-4450;-1757;-6207;-2693;7818650;2.0;6077
-9523;-5807;-15330;-3716;55300061;1.0;13212
1667;-1028;639;2695;-1713676;-2.0;-641
9720;5257;14977;4463;51098040;1.0;12657
-1563;-7400;-8963;5837;11566200;0.0;6909
3561;743;4304;2818;2645823;4.0;3854
-5212;3593;-1619;-8805;-18726716;-2.0;-6739
8375;2473;10848;5902;20711375;3.0;10526
7755;-3097;4658;10852;-24017235;-3.0;-4692
23;3593;3616;-3570;82639;0.0;3614
-9284;2069;-7215;-11353;-19208596;-5.0;-11351
2482;2012;4494;470;4993784;1.0;3694
-3939;-2913;-6852;-1026;11474307;1.0;1026
-9578;3686;-5892;-13264;-35304508;-3.0;-11024
906;5324;6230;-4418;4823544;0.0;5958
-8117;-265;-8382;-7852;2151005;30.0;7868
-6753;-3271;-10024;-3482;22089063;2.0;5798
-3970;5045;1075;-9015;-20028650;-1.0;-7221
-1141;9405;8264;-10546;-10731105;-1.0;-8394
-2846;-8896;-11742;6050;25318016;0.0;10658
-6458;-3675;-10133;-2783;23733150;1.0;5987
1658;-8627;-6969;10285;-14303566;-1.0;-10185
-3139;1267;-1872;-4406;-3977113;-3.0;-2226
-5191;6475;1284;-11666;-33611725;-1.0;-3342
7181;-4691;2490;11872;-33686071;-2.0;-3680
2208;1850;4058;358;4084800;1.0;3994
5424;-5507;-83;10931;-29869968;-1.0;-179
8523;3714;12237;4809;31654422;2.0;12233
3660;-5183;-1523;8843;-18969780;-1.0;-6771
-8823;317;-8506;-9140;-2796891;-28.0;-9036
-2068;6580;4512;-8648;-13607440;-1.0;-4520
531;-34;497;565;-18054;-16.0;-563
-6307;-4945;-11252;-1362;31188115;1.0;3058
145;-4948;-4803;5093;-717460;-1.0;-5059
-4313;-6541;-10854;2228;28211333;0.0;2388
-2111;-8925;-11036;6814;18840675;0.0;10978
-3377;1505;-1872;-4882;-5082385;-3.0;-2258
5542;-9778;-4236;15320;-54189676;-1.0;-13208
3374;1760;5134;1614;5938240;1.0;3022
-2002;5266;3264;-7268;-10542532;-1.0;-4932
1904;-178;1726;2082;-338912;-11.0;-1986
5603;1656;7259;3947;9278568;3.0;5019
6529;8231;14760;-1702;53740199;0.0;14758
-3698;4893;1195;-8591;-18094314;-1.0;-7533
8068;-1364;6704;9432;-11004752;-6.0;-6872
6513;-7196;-683;13709;-46867548;-1.0;-1387
-7896;5239;-2657;-13135;-41367144;-2.0;-2721
